ลำดับที่,ประเทศ / สัญชาติ,ชาย,หญิง,ไม่ทราบ,รวม
1,สหพันธรัฐรัสเซีย / รัสเซีย,10377,10761,7,21145
2,สหพันธสาธารณรัฐเยอรมันนี / เยอรมัน,12702,6113,9,18824
3,สหราชอาณาจักร / บริติช,10876,5707,2,16585
4,ราชอาณาจักรไทย / ไทย,3956,9582,4,13542
5,สหรัฐอเมริกา / อเมริกัน,8116,4113,2,12231
6,สาธารณรัฐฝรั่งเศส / ฝรั่งเศส,6905,3710,3,10618
7,รัฐอิสราเอล / อิสราเอล,6173,4249,3,10425
8,ราชอาณาจักรสวีเดน / สวีเดน,5135,3619,4,8758
9,สมาพันธรัฐสวิส / สวิส,3748,1685,2,5435
10,สาธารณรัฐคาซัคสถาน / คาซัค,2282,2919,0,5201
11,ราชอาณาจักรเดนมาร์ก / เดนมาร์ก,2637,1694,0,4331
12,ออสเตรเลีย / ออสเตรเลีย,2750,1313,1,4064
13,ราชอาณาจักรเนเธอร์แลนด์ / ดัตช์,1996,940,0,2936
14,สาธารณรัฐฟินแลนด์ / ฟินแลนด์,1567,1241,0,2808
15,สาธารณรัฐอิตาลี / อิตาลี,1930,662,0,2592
16,แคนาดา / แคนาเดียน,1502,709,0,2211
17,สาธารณรัฐออสเตรีย / ออสเตรีย,1452,727,0,2179
18,ราชอาณาจักรเบลเยียม / เบลเยียม,1526,619,0,2145
19,สาธารณรัฐอินเดีย / อินเดีย,1275,758,2,2035
20,ยูเครน / ยูเครนเนียน,885,1037,1,1923
21,สาธารณรัฐโปแลนด์ / โปแลนด์,1018,809,0,1827
22,ราชอาณาจักรนอร์เวย์ / นอร์เวย์,1171,519,1,1691
23,สาธารณรัฐประชาชนจีน / จีน,820,778,0,1598
24,สหรัฐอาหรับเอมิเรตส์ / สหรัฐอาหรับเอมิเรตส์,934,588,0,1522
25,สาธารณรัฐเอสโตเนีย / เอสโตเนียน,766,683,0,1449
26,ราชอาณาจักรสเปน / สเปน,804,484,0,1288
27,มองโกเลีย / มองโกเลีย,605,670,0,1275
28,ไอร์แลนด์ / ไอริช,814,429,0,1243
29,สาธารณรัฐสิงคโปร์ / สิงคโปร์,682,467,1,1150
30,โรมาเนีย / โรมาเนีย,581,557,2,1140
31,สาธารณรัฐเกาหลี / เกาหลีใต้,763,349,1,1113
32,สาธารณรัฐตุรกี / ตุรกี,767,314,1,1082
33,สาธารณรัฐฟิลิปปินส์ / ฟิลิปปินส์,219,856,0,1075
34,สาธารณรัฐเช็ก / เช็ก,619,444,0,1063
35,มาเลเซีย / มาเลเซีย,594,369,0,963
36,รัฐคูเวต / คูเวต,707,232,0,939
37,สาธารณรัฐฮังการี / ฮังการี,473,386,0,859
38,ญี่ปุ่น / ญี่ปุ่น,457,313,0,770
39,สาธารณรัฐลิทัวเนีย / ลิทัวเนีย,364,317,0,681
40,สาธารณรัฐแอฟริกาใต้ / แอฟริกาใต้,357,313,0,670
41,สาธารณรัฐสโลวัก / สโลวัก,306,210,0,516
42,รัฐกาตาร์ / กาตาร์,322,188,0,510
43,สาธารณรัฐลัตเวีย / ลัตเวีย,247,255,0,502
44,นิวซีแลนด์ / นิวซีแลนเดอร์,335,158,0,493
45,สาธารณรัฐบัลแกเรีย / บัลแกเรีย,246,228,0,474
46,สาธารณรัฐอุซเบกิสถาน / อุซเบก,248,224,0,472
47,สหพันธ์สาธารณรัฐบราซิล / บราซิล,217,228,0,445
48,สาธารณรัฐอิสลามปากีสถาน / ปากีสถาน,298,144,0,442
49,สาธารณรัฐโปรตุเกส / โปรตุเกส,237,152,0,389
50,สาธารณรัฐอินโดนีเซีย / อินโดนีเซีย,152,212,0,364
51,สาธารณรัฐเฮลเลนิก / กรีก,233,102,0,335
52,ฮ่องกง / ฮ่องกง,192,141,0,333
53,สาธารณรัฐอิหร่าน / อิหร่าน,182,121,0,303
54,ราชอาณาจักรฮัชไมต์จอร์แดน / จอร์แดน,172,126,0,298
55,รัฐบาห์เรน / บาห์เรน,198,74,0,272
56,เซอร์เบีย / เซอเบีย,119,97,0,216
57,สาธารณรัฐสังคมนิยมเวียดนาม / เวียดนาม,43,168,0,211
58,สาธารณรัฐอียิปต์ / อียิปต์,140,57,0,197
59,สาธารณรัฐเบลารุส / เบลารุส,107,88,0,195
60,สาธารณรัฐสโลเวเนีย / สโลวีน,105,59,0,164
61,สาธารณรัฐเลบานอน / เลบานอน,99,60,0,159
62,สาธารณรัฐไอซ์แลนด์ / ไอซ์แลนด์,101,42,0,143
63,ไต้หวัน / ไต้หวัน,75,64,0,139
64,สาธารณรัฐอาหรับซีเรีย / ซีเรีย,91,44,0,135
65,รัฐสุลต่านโอมาน / โอมาน,100,23,0,123
66,สาธารณรัฐโครเอเชีย / โครเอเชีย,66,52,0,118
67,ราชอาณาจักรโมร็อกโก / โมร็อกโก,58,56,0,114
68,ราชอาณาจักรซาอุดีอาระเบีย / ซาอุดีอาระเบีย,89,25,0,114
69,สาธารณรัฐอาร์เจนตินา / อาร์เจนตินา,63,49,0,112
70,ราชรัฐลักเซมเบิร์ก / ลักเซมเบิร์ก,81,25,0,106
71,สหภาพเมียนมา / เมียนมา,41,53,0,94
72,องค์การสหประชาชาติ / องค์การสหประชาชาติ,44,41,1,86
73,สหรัฐเม็กซิโก / เม็กซิโก,49,33,0,82
74,สาธารณรัฐตูนีเซีย / ตูนิเซีย,48,34,0,82
75,ราชอาณาจักรกัมพูชา / กัมพูชา,32,46,1,79
76,สาธารณรัฐประชาชนบังกลาเทศ / บังกลาเทศ,44,33,0,77
77,สาธารณรัฐชิลี / ชิลี,37,39,0,76
78,ปาเลสไตน์ / ปาเลสไตน์เนียน,52,14,0,66
79,สาธารณรัฐเยเมน / เยเมน,42,22,0,64
80,สาธารณรัฐสังคมนิยมประชาธิปไตยศรีลังกา / ศรีลังกา,39,24,0,63
81,สาธารณรัฐโคลอมเบีย / โคลัมเบีย,25,37,0,62
82,ไม่ทราบ / ไม่ทราบ,33,23,0,56
83,สาธารณรัฐมัลดีฟส์ / มัลดีฟ,42,14,0,56
84,สาธารณรัฐซูดาน / ซูดาน,39,12,0,51
85,สาธารณรัฐเปรู / เปรู,30,20,0,50
86,สาธารณรัฐอาเชอร์ไบจาน / อาเซอร์ไบจาน,22,22,0,44
87,สาธารณรัฐประชาธิปไตยประชาชนแอลจิเรีย / แอลจิเรีย,24,19,0,43
88,สาธารณรัฐมอลตา / มอลตา,30,11,0,41
89,สาธารณรัฐไซปรัส / ไซปรัส,25,16,0,41
90,สาธารณรัฐอิรัก / อิรัก,35,3,0,38
91,สาธารณรัฐมอลโดวา / มอลโดวา,14,22,0,36
92,สาธารณรัฐคีร์กรีซ / คีร์กีซ,10,23,0,33
93,ยูเอ็น / หน่วยงานพิเศษ ยูเอ็น,24,9,0,33
94,สหพันธ์สาธารณรัฐประชาธิปไตยเนปาล / เนปาล,22,10,0,32
95,ผู้อพยพ (อื่นๆ) / ผู้อพยพ (อื่นๆ),20,12,0,32
96,สาธารณรัฐแอลเบเนีย / แอลบาเนีย,17,10,0,27
97,สาธารณรัฐเคนยา / เคนยา,7,18,0,25
98,มอริเซียส / มอริเซียส,10,14,0,24
99,สาธารณรัฐอาร์เมเนีย / อาร์เมเนีย,12,12,0,24
100,สาธารณรัฐเอกวาดอร์ / เอกวาดอร์,11,12,0,23
101,สาธารณรัฐโบลีวาร์แห่งเวเนซุเอลา / เวเนซุเอลา,12,10,0,22
102,สาธารณรัฐมาซิโดเนีย / มาซิโดเนีย,14,6,0,20
103,สาธารณรัฐประชาธิปไตยประชาชนลาว / ลาว,7,13,0,20
104,ผู้อพยพ (1951 CONVENTION) / ผู้อพยพ (1951 CONVENTION),13,6,0,19
105,สาธารณรัฐบอสเนีย-เฮอร์เซโกวินา / บอสเนีย-เฮอร์เซโกวินา,15,4,0,19
106,ราชรัฐลิกเตนสไตน์ / ลิกเตนสไตน์,16,3,0,19
107,คอซอวอ / คอซอวอ,13,5,0,18
108,ไม่มีสัญชาติ / ไม่มีสัญชาติ,14,2,0,16
109,ไอร์แลนด์เหนือ / บริติช (OVERSEAS),8,7,0,15
110,สหพันธ์สาธารณรัฐประชาธิปไตยเอธิโอเปีย / เอธิโอเปีย,5,10,0,15
111,สาธารณรัฐซิมบับเว (ZWE) / ซิมบับเว (ZWE),6,9,0,15
112,สาธารณรัฐมอนเตเนโกร / มอนเตรเนโกร,6,9,0,15
113,รัฐพหุชนชาติแห่งโบลิเวีย / โบลิเวีย,6,7,0,13
114,สาธารณรัฐวานูอาทู / วานูอาทูน,12,1,0,13
115,สาธารณรัฐปารากวัย / ปารากวัย,4,8,0,12
116,สาธารณรัฐจอร์เจีย / จอร์เจียน,5,7,0,12
117,ราชอาณาจักรภูฎาน / ภูฎาน,5,7,0,12
118,สาธารณรัฐยูกันดา / ยูกันดา,5,7,0,12
119,สหสาธารณรัฐแทนซาเนีย / แทนซาเนีย,5,5,0,10
120,อุรุกวัย / อุรุกวัย,5,5,0,10
121,เครือรัฐโดมิกา / โดมินิกา,6,3,0,9
122,เนการาบรูไนดารุสซาลาม / บรูไน,4,4,0,8
123,สหพันธ์สาธารณรัฐไนจีเรีย / ไนจีเรียน,2,6,0,8
124,สาธารณรัฐประชาธิปไตรโซมาลี / โซมาลี,6,2,0,8
125,เกาะเซนต์คริสโตเฟอร์ / เซนต์คริสโตเฟอรัน,7,1,0,8
126,สาธารณรัฐปานามา / ปานามา,6,2,0,8
127,สาธารณรัฐซานมารีโน / ซานมารีนาน,5,3,0,8
128,สาธารณรัฐทาจิกิสถาน / ทาจิก,4,4,0,8
129,เอริเทรีย / เอริเทรีย,5,2,0,7
130,เกรนาดา / เกรนาดา,4,3,0,7
131,สาธารณรัฐโดมินิกัน / โดมินิกัน,4,2,0,6
132,สาธารณรัฐมาดากัสการ์ / มาลากาซี,1,5,0,6
133,สาธารณรัฐกัวเตมาลา / กัวเตมาลา,2,4,0,6
134,สาธารณรัฐคิวบา / คิวบา,3,3,0,6
135,สาธารณรัฐตรินิแดดและโตเบโก / ตรินิแดดและโตเบโก,1,4,0,5
136, / ,3,2,0,5
137,เบลิซ / เบลิซ,5,0,0,5
138,เติร์กเมนิสถาน / เติร์กเมน,3,2,0,5
139,สาธารณรัฐโกตดิวัวร์ / โกตดิวัวร์,2,2,0,4
140,สาธารณรัฐกานา / กานา,3,1,0,4
141,สาธารณรัฐบอตสวานา / บอตสวานา,2,2,0,4
142,สหพันธ์สาธารณรัฐอิสลาม / คอโมโรส,3,1,0,4
143,สาธารณรัฐฮอนดูรัส / ฮอนดูรัส,2,2,0,4
144,สาธารณรัฐเอลซัลวาดอร์ / เอลซัลวาดอร์,1,3,0,4
145,สาธารณรัฐสังคมนิยมประชาชนอาหรับลิเบีย / ลิเบีย,3,1,0,4
146,แอนติกาและบาร์บูดา / แอนติกาและบาร์ดา,3,1,0,4
147,มาเก๊า / มาเก๊า,3,1,0,4
148,ราชรัฐอันดอร์รา / อันดอร์รา,2,2,0,4
149,สาธารณรัฐนามิเบีย / นามิเบีย,0,3,0,3
150,สาธารณรัฐเซเนกัล / เซเนกัล,1,2,0,3
151,สาธารณรัฐคอสตาริกา / คอสตาริกา,2,1,0,3
152,รัฐอิสลามอัฟกานิสถาน / อัฟกัน,3,0,0,3
153,สาธารณรัฐประชาธิปไตยคองโก / สาธารณรัฐประชาธิปไตยคองโก,1,2,0,3
154,สาธารณรัฐหมู่เกาะฟิจิ / ฟิจิ,2,1,0,3
155,ราชรัฐโมนาโก / โมนาโก,2,1,0,3
156,สาธารณรัฐมาลาวี / มาลาวี,0,3,0,3
157,สาธารณรัฐเชียร์ราลีโอน / เชียร์ราลีโอน,2,1,0,3
158,ปาปัวนิวกินี / ปาปัวนิวกินี,1,2,0,3
159,หมู่เกาะโซโลมอน / หมู่เกาะโซโลมอน,2,0,0,2
160,กินี / กิเนียน,2,0,0,2
161,สาธารณรัฐชาด / ชาด,2,0,0,2
162,บาร์เบโดส / บาร์เบโดส,0,1,0,1
163,เครือรัฐบาฮามาส / บาฮามาส,1,0,0,1
164,สาธารณรัฐแคเมอรูน / แคเมอรูน,1,0,0,1
165,สาธารณรัฐเบนิน / เบนิน,1,0,0,1
166,สาธารณรัฐซูรินาเม / สุรินัม,1,0,0,1
167,สาธารณรัฐอิสลามมอริเตเนีย / มอริเตเนีย,1,0,0,1
168,สาธารณรัฐไลบีเรีย / ไลบีเรีย,1,0,0,1
169,ราขอาณาจักรตองกา / ตองกา,1,0,0,1
170,สาธารณรัฐซิมบับเว / ซิมบับเว,0,1,0,1
171,จาเมกา / จาเมกา,0,1,0,1
172,สหพันธรัฐไมโครนีเซีย / ไมโครนีเซีย,1,0,0,1
173,สาธารณรัฐอิสลามแกมเบีย / แกมเบีย,1,0,0,1
174,สาธารณรัฐนิการากัว / นิการากัว,0,1,0,1
175,สาธารณรัฐคองโก / คองโก,0,1,0,1
176,สาธารณรัฐจิบูตี / จีบูเตียน,0,1,0,1
177,สาธารณรัฐแซมเบีย / แซมเบีย,1,0,0,1
178,สาธารณรัฐแองโกลา / แองโกลา,0,1,0,1
