,index,ภาค,จังหวัด,รายการย่อย,year,ประเภทผู้เยี่ยมเยือน,ค่าใช้จ่ายโดยเฉลี่ย (บาท/คน/วัน)
10,21570,ภาคใต้,ภูเก็ต,ผู้เยี่ยมเยือน,2552,รวม,4186.7
11,21571,ภาคใต้,ภูเก็ต,ผู้เยี่ยมเยือน,2553,รวม,4896.83187484
12,21572,ภาคใต้,ภูเก็ต,ผู้เยี่ยมเยือน,2554,รวม,4827.503676169529
13,21573,ภาคใต้,ภูเก็ต,ผู้เยี่ยมเยือน,2555,รวม,4964.25
14,21574,ภาคใต้,ภูเก็ต,ผู้เยี่ยมเยือน,2556,รวม,5639.43
15,21575,ภาคใต้,ภูเก็ต,ผู้เยี่ยมเยือน,2557,รวม,5805.97
16,21576,ภาคใต้,ภูเก็ต,ผู้เยี่ยมเยือน,2558,รวม,6143.25
17,21577,ภาคใต้,ภูเก็ต,ผู้เยี่ยมเยือน,2559,รวม,6761.91
18,21578,ภาคใต้,ภูเก็ต,ผู้เยี่ยมเยือน,2560,รวม,7256.649999999999
19,21579,ภาคใต้,ภูเก็ต,ผู้เยี่ยมเยือน,2561,รวม,7765.75
20,21580,ภาคใต้,ภูเก็ต,ผู้เยี่ยมเยือน,2552,ชาวไทย,2835.45
21,21581,ภาคใต้,ภูเก็ต,ผู้เยี่ยมเยือน,2553,ชาวไทย,2868.09261539
22,21582,ภาคใต้,ภูเก็ต,ผู้เยี่ยมเยือน,2554,ชาวไทย,3118.37829260482
23,21583,ภาคใต้,ภูเก็ต,ผู้เยี่ยมเยือน,2555,ชาวไทย,3279.38
24,21584,ภาคใต้,ภูเก็ต,ผู้เยี่ยมเยือน,2556,ชาวไทย,3819.4
25,21585,ภาคใต้,ภูเก็ต,ผู้เยี่ยมเยือน,2557,ชาวไทย,3991.51
26,21586,ภาคใต้,ภูเก็ต,ผู้เยี่ยมเยือน,2558,ชาวไทย,4243.65
27,21587,ภาคใต้,ภูเก็ต,ผู้เยี่ยมเยือน,2559,ชาวไทย,4468.85
28,21588,ภาคใต้,ภูเก็ต,ผู้เยี่ยมเยือน,2560,ชาวไทย,4705.81
29,21589,ภาคใต้,ภูเก็ต,ผู้เยี่ยมเยือน,2561,ชาวไทย,4950.54
30,21590,ภาคใต้,ภูเก็ต,ผู้เยี่ยมเยือน,2552,ชาวต่างประเทศ,4551.5
31,21591,ภาคใต้,ภูเก็ต,ผู้เยี่ยมเยือน,2553,ชาวต่างประเทศ,5154.61702449
32,21592,ภาคใต้,ภูเก็ต,ผู้เยี่ยมเยือน,2554,ชาวต่างประเทศ,5265.80897600724
33,21593,ภาคใต้,ภูเก็ต,ผู้เยี่ยมเยือน,2555,ชาวต่างประเทศ,5386.15
34,21594,ภาคใต้,ภูเก็ต,ผู้เยี่ยมเยือน,2556,ชาวต่างประเทศ,6126.16
35,21595,ภาคใต้,ภูเก็ต,ผู้เยี่ยมเยือน,2557,ชาวต่างประเทศ,6237.69
36,21596,ภาคใต้,ภูเก็ต,ผู้เยี่ยมเยือน,2558,ชาวต่างประเทศ,6580.72
37,21597,ภาคใต้,ภูเก็ต,ผู้เยี่ยมเยือน,2559,ชาวต่างประเทศ,7252.21
38,21598,ภาคใต้,ภูเก็ต,ผู้เยี่ยมเยือน,2560,ชาวต่างประเทศ,7799.17
39,21599,ภาคใต้,ภูเก็ต,ผู้เยี่ยมเยือน,2561,ชาวต่างประเทศ,8388.38
40,21600,ภาคใต้,ภูเก็ต,นักท่องเที่ยว,2552,รวม,4210.25
41,21601,ภาคใต้,ภูเก็ต,นักท่องเที่ยว,2553,รวม,4935.29848259
42,21602,ภาคใต้,ภูเก็ต,นักท่องเที่ยว,2554,รวม,4862.09182499063
43,21603,ภาคใต้,ภูเก็ต,นักท่องเที่ยว,2555,รวม,4996.49
44,21604,ภาคใต้,ภูเก็ต,นักท่องเที่ยว,2556,รวม,5682.68
45,21605,ภาคใต้,ภูเก็ต,นักท่องเที่ยว,2557,รวม,5810.2
46,21606,ภาคใต้,ภูเก็ต,นักท่องเที่ยว,2558,รวม,6190.88
47,21607,ภาคใต้,ภูเก็ต,นักท่องเที่ยว,2559,รวม,6812.06
48,21608,ภาคใต้,ภูเก็ต,นักท่องเที่ยว,2560,รวม,7311.01
49,21609,ภาคใต้,ภูเก็ต,นักท่องเที่ยว,2561,รวม,7826.27
50,21610,ภาคใต้,ภูเก็ต,นักท่องเที่ยว,2552,ชาวไทย,2858.54
51,21611,ภาคใต้,ภูเก็ต,นักท่องเที่ยว,2553,ชาวไทย,2905.00554923
52,21612,ภาคใต้,ภูเก็ต,นักท่องเที่ยว,2554,ชาวไทย,3146.5410105742294
53,21613,ภาคใต้,ภูเก็ต,นักท่องเที่ยว,2555,ชาวไทย,3310.41
54,21614,ภาคใต้,ภูเก็ต,นักท่องเที่ยว,2556,ชาวไทย,3864.93
55,21615,ภาคใต้,ภูเก็ต,นักท่องเที่ยว,2557,ชาวไทย,4046.78
56,21616,ภาคใต้,ภูเก็ต,นักท่องเที่ยว,2558,ชาวไทย,4303.61
57,21617,ภาคใต้,ภูเก็ต,นักท่องเที่ยว,2559,ชาวไทย,4532.7
58,21618,ภาคใต้,ภูเก็ต,นักท่องเที่ยว,2560,ชาวไทย,4773.88
59,21619,ภาคใต้,ภูเก็ต,นักท่องเที่ยว,2561,ชาวไทย,5023.82
60,21620,ภาคใต้,ภูเก็ต,นักท่องเที่ยว,2552,ชาวต่างประเทศ,4565.74
61,21621,ภาคใต้,ภูเก็ต,นักท่องเที่ยว,2553,ชาวต่างประเทศ,5180.27389137
62,21622,ภาคใต้,ภูเก็ต,นักท่องเที่ยว,2554,ชาวต่างประเทศ,5293.19834251463
63,21623,ภาคใต้,ภูเก็ต,นักท่องเที่ยว,2555,ชาวต่างประเทศ,5411.58
64,21624,ภาคใต้,ภูเก็ต,นักท่องเที่ยว,2556,ชาวต่างประเทศ,6160.6
65,21625,ภาคใต้,ภูเก็ต,นักท่องเที่ยว,2557,ชาวต่างประเทศ,6273.68
66,21626,ภาคใต้,ภูเก็ต,นักท่องเที่ยว,2558,ชาวต่างประเทศ,6616.4
67,21627,ภาคใต้,ภูเก็ต,นักท่องเที่ยว,2559,ชาวต่างประเทศ,7288.88
68,21628,ภาคใต้,ภูเก็ต,นักท่องเที่ยว,2560,ชาวต่างประเทศ,7838.83
69,21629,ภาคใต้,ภูเก็ต,นักท่องเที่ยว,2561,ชาวต่างประเทศ,8432.18
70,21630,ภาคใต้,ภูเก็ต,นักทัศนาจร,2552,รวม,2311.05
71,21631,ภาคใต้,ภูเก็ต,นักทัศนาจร,2553,รวม,2503.8162923
72,21632,ภาคใต้,ภูเก็ต,นักทัศนาจร,2554,รวม,2514.19883752192
73,21633,ภาคใต้,ภูเก็ต,นักทัศนาจร,2555,รวม,2422.53
74,21634,ภาคใต้,ภูเก็ต,นักทัศนาจร,2556,รวม,2461.93
75,21635,ภาคใต้,ภูเก็ต,นักทัศนาจร,2557,รวม,2519.64
76,21636,ภาคใต้,ภูเก็ต,นักทัศนาจร,2558,รวม,2634.56
77,21637,ภาคใต้,ภูเก็ต,นักทัศนาจร,2559,รวม,2816.3
78,21638,ภาคใต้,ภูเก็ต,นักทัศนาจร,2560,รวม,3016.56
79,21639,ภาคใต้,ภูเก็ต,นักทัศนาจร,2561,รวม,3208.67
80,21640,ภาคใต้,ภูเก็ต,นักทัศนาจร,2552,ชาวไทย,2150.43
81,21641,ภาคใต้,ภูเก็ต,นักทัศนาจร,2553,ชาวไทย,2290.80041587
82,21642,ภาคใต้,ภูเก็ต,นักทัศนาจร,2554,ชาวไทย,2225.12548420052
83,21643,ภาคใต้,ภูเก็ต,นักทัศนาจร,2555,ชาวไทย,2109.02
84,21644,ภาคใต้,ภูเก็ต,นักทัศนาจร,2556,ชาวไทย,2152.97
85,21645,ภาคใต้,ภูเก็ต,นักทัศนาจร,2557,ชาวไทย,2199.8
86,21646,ภาคใต้,ภูเก็ต,นักทัศนาจร,2558,ชาวไทย,2324.11
87,21647,ภาคใต้,ภูเก็ต,นักทัศนาจร,2559,ชาวไทย,2420.05
88,21648,ภาคใต้,ภูเก็ต,นักทัศนาจร,2560,ชาวไทย,2546.78
89,21649,ภาคใต้,ภูเก็ต,นักทัศนาจร,2561,ชาวไทย,2682.08
90,21650,ภาคใต้,ภูเก็ต,นักทัศนาจร,2552,ชาวต่างประเทศ,2514.52
91,21651,ภาคใต้,ภูเก็ต,นักทัศนาจร,2553,ชาวต่างประเทศ,2663.39241235
92,21652,ภาคใต้,ภูเก็ต,นักทัศนาจร,2554,ชาวต่างประเทศ,2726.5317733343695
93,21653,ภาคใต้,ภูเก็ต,นักทัศนาจร,2555,ชาวต่างประเทศ,2643.15
94,21654,ภาคใต้,ภูเก็ต,นักทัศนาจร,2556,ชาวต่างประเทศ,2683.83
95,21655,ภาคใต้,ภูเก็ต,นักทัศนาจร,2557,ชาวต่างประเทศ,2753.05
96,21656,ภาคใต้,ภูเก็ต,นักทัศนาจร,2558,ชาวต่างประเทศ,2862.45
97,21657,ภาคใต้,ภูเก็ต,นักทัศนาจร,2559,ชาวต่างประเทศ,3108.29
98,21658,ภาคใต้,ภูเก็ต,นักทัศนาจร,2560,ชาวต่างประเทศ,3361.31
99,21659,ภาคใต้,ภูเก็ต,นักทัศนาจร,2561,ชาวต่างประเทศ,3609.91
